internal,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
63,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.3336+243.866i,-3.9883+91.0662i,55.9891-821.381i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.6672+487.732i,,,,,,,,,,,,
64,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9593-797.584i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.7071+400.824i,-5.49939+125.229i,,-6.49592+106.556i,-7.25689+166.909i,,,,,,,
65,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,57.224-1586.67i,,-26.3289+261.903i,,,,,,,,,,,,,,-30.8951+324.931i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.3289+261.903i,,57.1663-814.361i,-19.8902+445.541i,,,,,,,,,,,,,,,,,,,,,,,,,,-10.9471+107.941i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-19.8902+445.541i,64.3802-1909.51i,,,,,,,,,,,,,-17.6803+176.803i,,-26.8097+288.204i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,16.1233-1178.85i,,,,,,,,-16.1233+180.211i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5118-666.6i,-11.8047+267.216i,-17.7071+400.824i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.8047+267.216i,34.0407-602.111i,-9.45208+140.009i,-12.7839+196.407i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-17.7071+400.824i,-9.45208+140.009i,101.052-2290.1i,,,,-73.893+750.298i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.7839+196.407i,,42.1423-642.703i,,-20.875+322.801i,-8.48347+125.053i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,,,,,
79,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.875+322.801i,,69.6096-1015.2i,,,,,-13.0554+149.462i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.6792+544.108i,,,,,,
80,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-16.1233+180.211i,,,,-73.893+750.298i,-8.48347+125.053i,,,112.097-2321.72i,-7.9766+182.132i,,,-5.62096+86.973i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.9766+182.132i,20.7125-468.44i,-8.85355+200.412i,,-3.88238+87.1633i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.8951+324.931i,,,-17.6803+176.803i,,,,,,,,,,,,-8.85355+200.412i,57.429-701.381i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,,,,,,,,,,,,
84,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.8097+288.204i,,,,,,,,,,-13.0554+149.462i,-5.62096+86.973i,-3.88238+87.1633i,,,63.5261-932.76i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.1577+323.53i,,,,,,,,,,,,,
85,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,8.26111-1178.54i,,,,,-8.26111+179.801i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,29.0276-1667.29i,-29.0276+667.634i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.0276+667.634i,55.5882-1267.66i,-8.85355+200.412i,,,-17.7071+400.824i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.85355+200.412i,24.8068-563.755i,-15.9532+364.265i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.26111+179.801i,,,,-15.9532+364.265i,41.2851-794.12i,,,,,,,,,,,,,,,,,,,,,,,,,,-11.9643+168.354i,,-5.10655+84.6537i,,,,,,,,,,,,
92,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.7071+400.824i,,,,35.6722-791.842i,-6.62499+141.534i,,,,,,,,,,,,,,,,,,,,,,,-11.3402+250.743i,,,,,,,,,,,,,,
94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-6.62499+141.534i,50.2819-1765.38i,-4.39842+66.5094i,,,,,,,,,,,,,,,,,,,,,,-39.2585+559.041i,,,,,,,,,,,,,,
95,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.9471+107.941i,,,,,,,,,,,,,,,,,,,,,,,,,,-4.39842+66.5094i,33.0526-573.335i,,,,,,,,,,,,,,,,,,,,,,,-17.7071+400.824i,,,,,,,,,,,,,
96,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,18.9618-1405.06i,,,,,,,,,,,,,,,,-18.9618+405.618i,,,,,,,,,,,,,,,,,,
98,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,109.141-2473.25i,-109.141+1473.4i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-109.141+1473.4i,129.387-2756.34i,,-20.247+283.863i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.247+283.863i,,41.2697-574.506i,-21.0227+292.173i,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-21.0227+292.173i,32.5517-1523.98i,,,,,-4.74312+132.456i,,,,-6.78585+101.171i,,,,,,,,,,,,,,,,,,
105,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,1000i,,,,,,,,,,,,,,,,,,,,,,,
106,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,1000i,,,,,,,,
107,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8802-806.304i,-10.2953+235.678i,,,,,,,,,,,,,,,-24.5849+572.009i,,,,,,,,
108,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,-10.2953+235.678i,32.1508-1730.21i,-15.9532+364.265i,,,,,,,,,,,,,-5.90236+133.608i,,,,,,,,,
109,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.74312+132.456i,,,,-15.9532+364.265i,49.1326-754.085i,,,,,,,,,,,,,-14.6884+117.931i,-13.7478+141.522i,,,,,,,,
110,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,
111,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,1000i,,,,,,,,,,,,,,,
112,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,29.0276-1667.29i,,,,-29.0276+667.634i,,,,,,,,,,,,,,,
113,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.9618+405.618i,,,,,,,-6.78585+101.171i,,,,,,,,,53.6-873.558i,,,-16.2783+207.711i,,,,,,-11.574+161.774i,,,,,,,,,
114,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,
115,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,23.9068-1524.81i,-3.51468+75.8249i,-6.17579+132.691i,-14.2163+318.344i,,,,,,,,,,,,,
116,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-29.0276+667.634i,-16.2783+207.711i,,-3.51468+75.8249i,60.051-2100.9i,-11.2305+152.547i,,,,,,,,,,,,,,
117,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.9643+168.354i,,-11.3402+250.743i,-39.2585+559.041i,,,,,,,,,,,,,,,,,,,,,-6.17579+132.691i,-11.2305+152.547i,79.9692-1261.5i,,,,,,,,,,,,,,
118,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000i,,-13.8276+308.499i,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-14.1577+323.53i,,,,,,,,,,,-17.7071+400.824i,,,,,,,,,,,,,,,,,,,,-14.2163+318.344i,,,59.9088-32348.4i,,,,,,,,,,,,,
119,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1742+50.728i,,-13.9353+194.895i,,,,,,,-34.6672+487.732i,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.10655+84.6537i,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8833-814.643i,,,,,,,,,,,,
120,59,,30000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9064+278.69i,,-17.7071+400.824i,,,,,,,,,,,,,-62.9213+1339.33i,,-17.7071+400.824i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.242-32417.6i,,,,,,,,,,,
121,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.04856+109.074i,,,-10.5441+147.836i,-5.14763+117.839i,,-5.49939+125.229i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4308-659.122i,-18.1912+161.348i,,,,,,,,,
122,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.90236+133.608i,-14.6884+117.931i,,,,-11.574+161.774i,,,,,,,,-18.1912+161.348i,69.6905-802.33i,,-19.3345+230.939i,,,,,,,
123,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.49592+106.556i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-24.5849+572.009i,,-13.7478+141.522i,,,,,,,,,,,,,,76.914-2268.47i,-32.0854+450.26i,,,,,,,
124,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.1588+472.105i,,,,,,,,,,,,,,,,,,,,,,,,-7.25689+166.909i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3345+230.939i,-32.0854+450.26i,92.8355-1298.63i,,,,,,,
125,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.2925+286.005i,,,,-25.238+266.432i,,,,,,,,,,,,,,,,,,,1000i,-35.6792+544.108i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2097-2095.59i,,,,,,
126,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,
127,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-1000i,,,,
128,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-626.667i,666.667i,,
129,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.667i,-666.667i,,
130,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-626.667i,666.667i
131,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.667i,-666.667i
